,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation,Entropy of labor of Each Occupation by location
192,"Blount County PUMA, TN",39074.1235485235,Credit counselors & loan officers,445762.6923076923,67871.33144378143,4.993734174927201
673,"Erie County (Central) PUMA, NY",39073.413069861774,Librarians and media collections specialists,181470.08394160584,38743.72834992776,5.354693598785619
860,"Greene, Daviess, Owen, Orange & Martin Counties PUMA, IN",39070.09827617987,Sales managers,417395.9669421488,106611.873312147,5.1209764727990486
686,"Euclid, Cleveland Heights & South Euclid Cities PUMA, OH",39069.85302243787,Cost estimators,437657.914893617,58963.60741807346,5.069997839958105
1225,"Lexington Town & Red Bank PUMA, SC",39064.60527633428,"Computer, automated teller, & office machine repairers",426513.85,34111.81459847549,5.28510198158272
872,"Gresham & Troutdale Cities PUMA, OR",39063.82524978294,"Morticians, undertakers, & funeral directors",151964.55135135134,45458.09118281886,5.090325702746419
1655,"Pasco County (East Central) PUMA, FL",39061.95075421031,Computer support specialists,482234.1818181818,55567.94486305866,4.981701441667448
788,"Genesee & Orleans Counties PUMA, NY",39046.235960524464,Dentists,668644.0,127707.80053807772,5.111749157601858
1840,"Rocky Mount City PUMA, NC",39038.22584765294,Physicians,418409.0540540541,206831.79290917717,4.979003234904068
823,"Grant, Green, Iowa, Richland & Lafayette Counties PUMA, WI",39036.4108566331,Physicians,391764.9891696751,206831.79290917717,5.379409075625987
1334,"Melbourne & West Melbourne Cities PUMA, FL",39036.3555005207,Podiatrists,482234.1860465116,112776.64908379482,4.883344384871743
1067,"Jefferson County (South) PUMA, MO",39028.68813152825,Physicians,340155.96355353075,206831.79290917717,4.840737644999816
540,"DeKalb County PUMA, IL",39026.54986847352,Advertising sales agents,227946.8208955224,59021.9754631948,4.946959687435757
19,"Albuquerque City (Northwest Mesa), Paradise Hills & Navajo Nation-Tohajiilee Chapter PUMA, NM",39023.14837167178,Physician assistants,244846.92376681612,92251.10058815022,5.007519545267205
106,"Baldwin County PUMA, AL",39022.82670637348,Insurance underwriters,396120.9428571428,65638.00450135449,5.103914895102324
